feature,importance
"cat__disease_target_Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",0.0
"cat__disease_target_Không có, tịt hoặc hẹp ruột non - Absence, atresia and stenosis of small intestine",0.0
cat__disease_target_Thấp khớp cấp - Acute rheumatic heart disease,0.0
cat__disease_target_Thương tổn do chấn thương ở mắt và hốc mắt - Injury of eye and orbit,0.0
"cat__disease_target_Di chứng, thương tổn do chấn thương, do ngộ độc và hậu quả khác do nguyên nhân bên ngoài - Sequalae of injuries, of poisoning and of other consequences of external causes",0.0
cat__disease_target_Viêm gan B cấp - Acute hepatitis B,0.0
cat__disease_target_Bệnh thoái hoá khớp - Arthrosis,0.0
cat__disease_target_U ác dạ dày - Malignant neoplasm of stomach,0.0
cat__disease_target_Không rõ nhóm bệnh,0.0
"cat__disease_target_U ác chỗ nối trực tràng sigma, trực tràng, hậu môn và ống hậu môn - Malignant neoplasm of rectosigmoid function, rectum, anus and anal canal",0.0
cat__disease_target_Bệnh tim thiếu máu cục bộ khác - Other ischaemic heart diseases,0.0
cat__disease_target_Các dạng uốn ván khác - Other tetanus,0.0
cat__disease_target_Tổn thương tuyến giáp liên quan đến thiếu iod - Iodine deficiency- related thyroid disorders,0.0
cat__disease_target_Tả - Cholera,0.0
cat__disease_target_Quá sản tuyến tiền liệt - Hyperplasia of prostate,0.0
"cat__disease_target_Tật khúc xạ, các rối loạn điều tiết - Disorders of refraction and accomodation",0.0
cat__disease_target_Glôcôm - Glaucoma,0.0
cat__disease_target_Sán Echinococ - Echinococcosis,0.0
cat__disease_target_Nhiễm khuẩn khác lây truyền qua đường tình dục - Other infection with a predominantly sexual mode of transmission,0.0
cat__disease_target_U cơ trơn tử cung - Leiomyoma of uterus,0.0
cat__disease_target_U ác vú - Malignant neoplasm of breast,0.0
cat__disease_target_Rối loạn tâm thần và ứng xử liên quan dùng các chất kích thích tâm lí khác - Mental and behavioural disorders due to other psychoactive substances use,0.0
cat__disease_target_Sâu răng - Dental caries,0.0
"cat__disease_target_Bệnh lí thai nhi và sơ sinh do biến chứng thai nghén, chửa, đẻ - Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",0.0
cat__disease_target_Các biến chứng khác của chửa đẻ - Other complications pregnancy and delivery,0.0
cat__disease_target_Cúm - Influenza,0.0
cat__disease_target_Dịch hạch - Plague,0.0
cat__disease_target_Người có nguy cơ liên quan đến bệnh truyền nhiễm - Other persons with potential health hazards related to communicable diseases,0.0
"cat__disease_target_U ác khí quản, phế quản và phổi - Malignant neoplasms of trachea, bronchus and lung",0.0
cat__disease_target_Các nhiễm khuẩn do sán lá - Other fluke infections,0.0
cat__disease_target_Các chấn thương sản khoa - Birth trauma,0.0
cat__disease_target_Mất thính giác - Hearing loss,0.0
"cat__disease_target_Tai biến mạch máu não, không xác định rõ chảy máu hoặc do nhồi máu - Stroke, not specified as haemorrhage or infarction",0.0
cat__disease_target_Sởi - Measles,0.0
cat__disease_target_Tổn thương khác của tuyến tiền liệt - Other disorders of prostate,0.0
cat__disease_target_U ác đại tràng - Malignant neoplasm of colon,0.0
cat__disease_target_Nhiễm khuẩn não mô cầu - Meningococcal infection,0.0
cat__disease_target_Tai nạn do tiếp xúc với các chất nóng - contact with heat and hot,0.0
"cat__disease_target_Tai nạn do khói, lửa, đám cháy - expossure to smoke, fire and fpames",0.0
"cat__disease_target_Thương hàn, phó thương hàn - Typhoid and paratyphoid fevers",0.0
cat__disease_target_Tự tử - Intentional self-harm,0.0
cat__disease_target_Bệnh mạch máu ngoại vi khác - Other peripheral vascular disease,0.0
cat__disease_target_Chấn thương dập nát và cắt cụt đã xác định và nhiều vùng trong cơ thể - Fracture of other lim bones,0.0
cat__disease_target_Quai bị - Mumps,0.0
