feature,importance
cat__disease_target_Glôcôm - Glaucoma,7.3378515763995486e-09
cat__disease_target_Ho gà - Whooping cough,7.1679561437833855e-09
"cat__disease_target_Tai biến mạch máu não, không xác định rõ chảy máu hoặc do nhồi máu - Stroke, not specified as haemorrhage or infarction",6.957532381928582e-09
cat__disease_target_U cơ trơn tử cung - Leiomyoma of uterus,6.334679552716632e-09
"cat__disease_target_U ác khí quản, phế quản và phổi - Malignant neoplasms of trachea, bronchus and lung",6.298420948420837e-09
cat__disease_target_Mất thính giác - Hearing loss,5.264598509518723e-09
cat__disease_target_Các nhiễm khuẩn do sán lá - Other fluke infections,5.13787554721068e-09
cat__disease_target_Các chấn thương sản khoa - Birth trauma,4.279010345573624e-09
"cat__disease_target_Bệnh lí thai nhi và sơ sinh do biến chứng thai nghén, chửa, đẻ - Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",3.729074267615423e-09
cat__disease_target_Tai nạn do tiếp xúc với các chất nóng - contact with heat and hot,2.885247531364275e-09
cat__disease_target_Sâu răng - Dental caries,2.4019283731462044e-09
"cat__disease_target_Tai nạn do khói, lửa, đám cháy - expossure to smoke, fire and fpames",1.964811753221775e-09
cat__disease_target_Tổn thương khác của tuyến tiền liệt - Other disorders of prostate,1.7003002351455107e-09
cat__disease_target_Chấn thương dập nát và cắt cụt đã xác định và nhiều vùng trong cơ thể - Fracture of other lim bones,1.1865526551009408e-09
cat__disease_target_Nhiễm khuẩn não mô cầu - Meningococcal infection,1.0876421645998425e-09
cat__disease_target_Tổn thương tuyến giáp liên quan đến thiếu iod - Iodine deficiency- related thyroid disorders,9.123870794904851e-10
cat__disease_target_U ác đại tràng - Malignant neoplasm of colon,8.587172512851419e-10
cat__disease_target_Tự tử - Intentional self-harm,3.4960534017965336e-10
cat__disease_target_Quai bị - Mumps,0.0
cat__disease_target_Nhiễm khuẩn khác lây truyền qua đường tình dục - Other infection with a predominantly sexual mode of transmission,0.0
cat__disease_target_Bệnh mạch máu ngoại vi khác - Other peripheral vascular disease,0.0
"cat__disease_target_Thương hàn, phó thương hàn - Typhoid and paratyphoid fevers",0.0
